Id	English	Concept set	Caijia	Remark	Caijia (segments  separated)
Sagart-2019-250-153	to play	PLAY	so33 ko55		s  o  33 k  o  55
Sagart-2019-250-154	to pull	PULL	khəŋ55		kh  ə ŋ  55
Sagart-2019-250-155	to push	PUSH	lu21		l  u  21
Sagart-2019-250-156	the rain	RAIN (PRECIPITATION)	zɨ33		z  ɨ 33
Sagart-2019-250-157	the rainbow	RAINBOW	/		/
Sagart-2019-250-158	red	RED	tɕhɨ55		tɕh  ɨ 55
Sagart-2019-250-159	to reside (live)	DWELL (LIVE, RESIDE)	tsa33		ts  a  33
Sagart-2019-250-160	the rice plant	RICE PLANT	mje33		m  j  e  33
Sagart-2019-250-161	right	RIGHT	tɕɨ22 		tɕ ɨ 22 
Sagart-2019-250-162	the river	RIVER	sɨ55	Same as "water"	s  ɨ 55
			kʊŋ33 sɨ55		k  ʊ ŋ  33  s  ɨ 55
Sagart-2019-250-163	the road	ROAD	xo55		x  o  55
Sagart-2019-250-164	the root	ROOT	tɕv̩33 		tɕ v̩  33 
Sagart-2019-250-165	the rope	ROPE	sv̩55		s  v̩  55
Sagart-2019-250-166	round	ROUND	təŋ21		t  ə ŋ  21
Sagart-2019-250-167	to run	RUN	pjaʊ33 		p  j  a  ʊ 33 
Sagart-2019-250-168	the salt	SALT	ɕaŋ33		ɕ a  ŋ  33
Sagart-2019-250-169	salty	SALTY	tɕəŋ21		tɕ ə ŋ  21
Sagart-2019-250-170	the sand	SAND	ɕa21 ɕa35		ɕ a  21  ɕ a  35
Sagart-2019-250-171	to scratch	SCRATCH	paɪ33		p  a  ɪ 33
Sagart-2019-250-172	the sea	SEA	/		/
Sagart-2019-250-173	to see	SEE	tɕaŋ33		tɕ a  ŋ  33
Sagart-2019-250-174	the seed	SEED	tɕʊŋ55 ɕu55		tɕ ʊ ŋ  55  ɕ u  55
Sagart-2019-250-175	seven	SEVEN	tɕhi55		tɕh  i  55
Sagart-2019-250-176	sharp	SHARP	ȵaŋ33 		ȵ  a  ŋ  33 
Sagart-2019-250-177	the sheep	SHEEP	pja33 ʑu21	pja33=white	p  j  a  33  ʑ  u  21
Sagart-2019-250-178	to shoot (an arrow)	SHOOT	na21	Same as "to fight"	n  a  21
Sagart-2019-250-179	short	SHORT	pi33		p  i  33
Sagart-2019-250-180	the shoulder	SHOULDER	ta33 pv̩22		t  a  33  p  v̩  22
Sagart-2019-250-181	shy	SHY	təŋ33		t  ə ŋ  33
Sagart-2019-250-182	the sickle	SICKLE	laŋ21		l  a  ŋ  21
Sagart-2019-250-183	to sing	SING	tɕhaŋ35		tɕh  a  ŋ  35
Sagart-2019-250-184	six	SIX	fu55	Compare Bai (Jianchuan) fv̩44	f  u  55
Sagart-2019-250-185	the skin	SKIN	pəʊ21		p  ə ʊ 21
Sagart-2019-250-186	the sky	SKY	khəŋ33		kh  ə ŋ  33
Sagart-2019-250-187	to sleep	SLEEP	tɕɨ22		tɕ ɨ 22
Sagart-2019-250-188	small	SMALL	ɕje22		ɕ j  e  22
Sagart-2019-250-189	to smell (perceive odor) [transitive]	SMELL (PERCEIVE)	khv̩55 		kh  v̩  55 
Sagart-2019-250-190	the smoke	SMOKE (EXHAUST)	ʑin33		ʑ i  n  33
Sagart-2019-250-191	smooth	SMOOTH	kweɪ33		k  w  e  ɪ  33
Sagart-2019-250-192	the snake	SNAKE	feɪ55		f  e  ɪ 55
Sagart-2019-250-193	the snow	SNOW	ɕv̩33		ɕ v̩  33
Sagart-2019-250-194	soft	SOFT	ȵu21		ȵ  u  21
Sagart-2019-250-195	the son	SON	tsɨ55		ts  ɨ 55
Sagart-2019-250-196	the sparrow	SPARROW	tɕja55 tsɨ33 tsɨ35		tɕ j  a  55  ts  ɨ 33  ts  ɨ 35
Sagart-2019-250-197	the spider	SPIDER	ta22 tu33		t  a  22  t  u  33
Sagart-2019-250-198	to spit	SPIT	thv̩33 tshɨ33 thv̩22		th  v̩  33  tsh  ɨ 33  th  v̩  22
Sagart-2019-250-199	to stand	STAND	taŋ33		t  a  ŋ  33
Sagart-2019-250-200	the star	STAR	ɕje33 tshu22		ɕ j  e  33  tsh  u  22
Sagart-2019-250-201	to steal	STEAL	taʊ21		t  a  ʊ 21
Sagart-2019-250-202	the stick	STICK	pəŋ33		p  ə ŋ  33
Sagart-2019-250-203	the stone (a piece of)	STONE	tɕa33 tu21		tɕ  a  33  t  u  21
Sagart-2019-250-204	straight	STRAIGHT	tɕɨ22		tɕ ɨ 22
Sagart-2019-250-205	the sun	SUN	in33 sʊŋ22		i  n  33  s  ʊ ŋ  22
Sagart-2019-250-206	the tail	TAIL	maŋ33 ta22		m  a  ŋ  33  t  a  22
Sagart-2019-250-207	ten	TEN	tɕaŋ33		tɕ a  ŋ  33
Sagart-2019-250-208	that	THAT	mo22		m  o  22
Sagart-2019-250-209	there	THERE	mo35 min22		m  o  35  m  i  n  22
Sagart-2019-250-210	thick	THICK	ku33		k  u  33
Sagart-2019-250-211	the thigh	UPPER LEG (THIGH)	la22 pje33		l  a  22  p  j  e  33
Sagart-2019-250-212	thin (object)	THIN (OF SHAPE OF OBJECT)	pv̩33	Applied to book-like objects 	p  v̩  33
			mo33	Applied to thread-like objects	m  o  33
Sagart-2019-250-213	to think (reflect)	THINK (REFLECT)	təʊ22		t  ə ʊ 22
Sagart-2019-250-214	this	THIS	wo22		w  o  22
Sagart-2019-250-215	thou [second person singular]	THOU	nəʊ33		n  ə ʊ 33
Sagart-2019-250-216	three	THREE	sa33		s  a  33
Sagart-2019-250-217	to throw	THROW	pi55		p  i  55
Sagart-2019-250-218	the thunder	THUNDER	tɨ33		t  ɨ 33
Sagart-2019-250-219	the tiger	TIGER	khv̩55		kh  v̩  55
Sagart-2019-250-220	today	TODAY	khəŋ55 kʊŋ55	kʊŋ55=day	kh  ə ŋ  55  k  ʊ  ŋ  55
Sagart-2019-250-221	tomorrow	TOMORROW	thəŋ33 kʊŋ55 		th  ə ŋ  33  k  ʊ ŋ  55 
Sagart-2019-250-222	the tongue	TONGUE	tɕɨ33 ta22		tɕ ɨ 33  t  a  22
Sagart-2019-250-223	the tooth (front)	TOOTH	tɕhɨ55 peɪ55		tɕh  ɨ 55  p  e  ɪ 55
Sagart-2019-250-224	the tree	TREE	ɕo55		ɕ o  55
			meɪ21 tɕu22		m  e  ɪ 21  tɕ u  22
Sagart-2019-250-225	twenty	TWENTY	nin21 tɕɨ35		n  i  n  21  tɕ ɨ 35
Sagart-2019-250-226	two	TWO	ta55		t  a  55
Sagart-2019-250-227	to vomit	VOMIT	lo55		l  o  55
Sagart-2019-250-228	to walk	WALK	ɣa21		ɣ a  21
Sagart-2019-250-229	the water	WATER	sɨ55		s  ɨ 55
Sagart-2019-250-230	we [first person plural inclusive]	WE (INCLUSIVE)	ŋu35		ŋ  u  35
Sagart-2019-250-231	wet	WET	tsɨ22		ts  ɨ 22
Sagart-2019-250-232	what	WHAT	ɕɨ33 mo55		ɕ ɨ 33  m  o  55
Sagart-2019-250-233	the wheat	WHEAT	ɕje22 tsʊŋ21	ɕje22=small	ɕ j  e  22  ts  ʊ ŋ  21
Sagart-2019-250-234	where	WHERE	la21 kha55		l  a  21  kh  a  55
Sagart-2019-250-235	white	WHITE	pja33		p  j  a  33
Sagart-2019-250-236	who	WHO	laʊ35 ni33		l  a  ʊ 35  n  i  33
Sagart-2019-250-237	the wife	WIFE	su55 pəʊ33		s  u  55  p  ə ʊ 33
Sagart-2019-250-238	the wind	WIND	paŋ33		p  a  ŋ  33
Sagart-2019-250-239	the wing	WING	ʑi33 tɕi33		ʑ i  33  tɕ i  33
Sagart-2019-250-240	to wipe	WIPE	tɕhəʊ33		tɕh  ə ʊ 33
Sagart-2019-250-241	the wolf	WOLF	ja33 khweɪ55	Literally "wild dog"	j  a  33  kh  w  e  ɪ 55
Sagart-2019-250-242	the woman	WOMAN	kv̩33 ja35		k  v̩  33  j  a  35
Sagart-2019-250-243	the wood (material)	WOOD	ɕo55		ɕ o  55
Sagart-2019-250-244	to sow (broadcast, scatter seeds)	SOW SEEDS	sa55		s  a  55
Sagart-2019-250-245	the year	YEAR	nin21		n  i  n  21
Sagart-2019-250-246	yellow	YELLOW	ɣʊŋ22		ɣ ʊ ŋ  22
Sagart-2019-250-247	yesterday	YESTERDAY	/		/
Sagart-2019-250-248	you [second person plural]	YOU	nəʊ35		n  ə ʊ 35
Sagart-2019-250-249	young	YOUNG	/		/
Sagart-2019-250-250	the shit	SHIT (DEFECATE)	i55		i  55
