Id	English	Concept set	Caijia	Remark	Caijia (segments  separated)
Sagart-2019-250-1	above	ABOVE	tɕa22 		tɕ  a  22 
Sagart-2019-250-2	all	ALL	/		/
Sagart-2019-250-3	the ant	ANT	pa21 pəʊ35		p  a  21  p  ə ʊ 35
Sagart-2019-250-4	the armpit	ARMPIT	ja22 ʑi33 tje55		j  a  22  ʑ i  33  t  j  e  55
Sagart-2019-250-5	bad	BAD	tɕhɨ22		tɕh  ɨ 22
Sagart-2019-250-6	the bamboo	BAMBOO	tɕo55		tɕ o  55
Sagart-2019-250-7	the barley (tibetan or highland)	BARLEY	la22 tsʊŋ21	la22=big	l  a  22  ts  ʊ ŋ  21
Sagart-2019-250-8	to be alive	BE ALIVE	xa33 		x  a  33 
Sagart-2019-250-9	the belly	BELLY	mu21 lu21		m  u  21  l  u  21
Sagart-2019-250-10	below, under	BELOW OR UNDER	ɣəʊ21		ɣ ə ʊ 21
			tɕjəʊ22		tɕ j  ə ʊ 22
Sagart-2019-250-11	big	BIG	la22		l  a  22
Sagart-2019-250-12	the bird	BIRD	tsɨ33 tsɨ35		ts  ɨ 33  ts  ɨ 35
Sagart-2019-250-13	to bite	BITE	tɕhin33/55		tɕh  i  n  33/55
Sagart-2019-250-14	black	BLACK	khəʊ55		kh  ə ʊ 55
Sagart-2019-250-15	the blood	BLOOD	tshɨ33 tshɨ33		tsh  ɨ 33  tsh  ɨ 33
Sagart-2019-250-16	to blow (of wind)	BLOW (OF WIND)	tɕhɨ33		tɕh  ɨ 33
Sagart-2019-250-17	the body hair (hair or fur)	HAIR (BODY)	mo21		m o  21
Sagart-2019-250-18	the bone	BONE	kweɪ55		k  w  e  ɪ 55
Sagart-2019-250-19	the branch	BRANCH	tɕi33 tɕi35		tɕ i  33  tɕ i  35
Sagart-2019-250-20	the breast (female)	BREAST	mi55		m  i  55
Sagart-2019-250-21	to burn [intransitive]	BURNING	tɕa33		tɕ  a  33
Sagart-2019-250-22	to buy	BUY	maŋ21 		m  a  ŋ  21 
Sagart-2019-250-23	to chew	CHEW	tsv̩21/33 		ts  v̩  21/33 
Sagart-2019-250-24	the child (young human)	CHILD (YOUNG HUMAN)	ŋa55		ŋ  a  55
Sagart-2019-250-25	the cloud	CLOUD	tin33		t  i  n  33
Sagart-2019-250-26	cold (of temperature)	COLD	ka21		k  a  21
Sagart-2019-250-27	to come	COME	ɣəʊ21		ɣ ə ʊ 21
Sagart-2019-250-28	correct (right)	CORRECT (RIGHT)	tɕaɪ33		tɕ a  ɪ 33
Sagart-2019-250-29	to count	COUNT	sv̩55		s  v̩  55
Sagart-2019-250-30	to cry (weep)	CRY	xəʊ33		x  ə ʊ 33
Sagart-2019-250-31	dark	DARK	khəʊ55	Same as "black"	kh  ə ʊ 55
Sagart-2019-250-32	the daughter	DAUGHTER	ȵʊŋ33		ȵ  ʊ ŋ  33
Sagart-2019-250-33	the dew	DEW	taɪ21 sɨ55		t  a  ɪ 21 s  ɨ 55
Sagart-2019-250-34	to die	DIE	sɨ55		s  ɨ 55
Sagart-2019-250-35	to dig	DIG	meɪ55		m  e  ɪ 55
Sagart-2019-250-36	dirty	DIRTY	tsʊŋ55		ts  ʊ ŋ  55
Sagart-2019-250-37	the dog	DOG	khweɪ55		kh  w  e  ɪ 55
Sagart-2019-250-38	the dream	DREAM	məŋ22		m  ə ŋ  22
Sagart-2019-250-39	to drink	DRINK	aŋ21/33		a  ŋ  21/33
Sagart-2019-250-40	dry	DRY	ka33		k  a  33
Sagart-2019-250-41	the dust	DUST	tɕa33 sɨ33 kha33		tɕ a  33  s  ɨ 33  kh  a  33
Sagart-2019-250-42	the ear	EAR	ni33 kha33		n  i  33  kh  a  33
Sagart-2019-250-43	early	EARLY	tɕin21		tɕ i  n  21
Sagart-2019-250-44	the earth (soil)	EARTH (SOIL)	thv̩55		th  v̩  55
Sagart-2019-250-45	the earthworm	EARTHWORM	ʑin35		ʑ i  n  35
Sagart-2019-250-46	to eat	EAT	ʑu21/33		ʑ u  21/33
Sagart-2019-250-47	the egg	EGG	pja33 kho55		p  j  a  33  kh  o  55
Sagart-2019-250-48	eight	EIGHT	peɪ55		p  e  ɪ 55
Sagart-2019-250-49	the eye	EYE	nin33 tɕɨ33		n  i  n  33  tɕ ɨ 33
Sagart-2019-250-50	far	FAR	tɕi55		tɕ i 55
Sagart-2019-250-51	the father	FATHER	pa55		p  a  55
Sagart-2019-250-52	the feather	FEATHER	tsɨ33 tsɨ35 mo21	Literally "bird hair"	ts  ɨ 33  ts  ɨ 35  m  o  21
Sagart-2019-250-53	to fight	FIGHT	na21/33		n  a  21/33
Sagart-2019-250-54	the fire	FIRE	faɪ55		f  a  ɪ 55
Sagart-2019-250-55	firewood	FIREWOOD	ɕo55		ɕ o  55
Sagart-2019-250-56	the fish	FISH	ɣʊŋ21		ɣ ʊ ŋ  21
Sagart-2019-250-57	five	FIVE	ɣʊŋ33		ɣ ʊ ŋ  33
Sagart-2019-250-58	the flea	FLEA	/		/
Sagart-2019-250-59	to float	FLOAT	/		/
Sagart-2019-250-60	to flow	FLOW	/		/
Sagart-2019-250-61	the flower	FLOWER	je21		j  e  21
Sagart-2019-250-62	to fly (move through air)	FLY (MOVE THROUGH AIR)	pv̩22 		p  v̩  22 
Sagart-2019-250-63	the fog	FOG	phaŋ33 maŋ35		ph  a  ŋ  33  m  a  ŋ  35
Sagart-2019-250-64	the foot	FOOT	kv̩55		k  v̩  55
Sagart-2019-250-65	the forest	FOREST	ɕo55 ɣa21		ɕ o  55  ɣ a  21
Sagart-2019-250-66	to forget	FORGET	pv̩33 nin21 	Literally "not remember"	p  v̩  33  n  i  n  21 
Sagart-2019-250-67	four	FOUR	sɨ22		s  ɨ 22
Sagart-2019-250-68	the fox	FOX	ɕɨ33 mo21 khweɪ55		ɕ ɨ 33  m  o  21  kh  w  e  ɪ 55
Sagart-2019-250-69	the frog	FROG	kwa33 maɪ35		k  w  a  33  m  a  ɪ 35
Sagart-2019-250-70	the front (front side)	FRONT (PART)	tɕin21	Same as "early"	tɕ i  n  21
Sagart-2019-250-71	the frost	FROST	pho33 ɕv̩33		ph  o  33  ɕ v̩  33
Sagart-2019-250-72	the fruit	FRUIT	/		/
Sagart-2019-250-73	full	FULL	ma33		m  a  33
Sagart-2019-250-74	to give	GIVE	a33/55		a  33/55
Sagart-2019-250-75	the goat	GOAT	tɕhɨ55		tɕh  ɨ 55
Sagart-2019-250-76	good	GOOD	khwa22		kh  w  a  22
Sagart-2019-250-77	the grass	GRASS	tsho55		tsh o  55
Sagart-2019-250-78	green	GREEN	lo33		l  o  33
Sagart-2019-250-79	the hail	HAIL	/		/
Sagart-2019-250-80	the hair (of the head)	HAIR	peɪ55		p  e  ɪ 55
Sagart-2019-250-81	the hand	HAND	ɕu55		ɕ u  55
Sagart-2019-250-82	hard	HARD	ŋa22		ŋ  a  22
Sagart-2019-250-83	he or she [third person singular]	HE OR SHE OR IT	je33		j  e  33
Sagart-2019-250-84	the head	HEAD	to33 to55		t  o  33  t  o  55
Sagart-2019-250-85	to hear	HEAR	thi55		th  i  55
Sagart-2019-250-86	the heart	HEART	saŋ33		s  a  ŋ  33
Sagart-2019-250-87	heavy	HEAVY	tʊŋ33		t  ʊ ŋ  33
Sagart-2019-250-88	here	HERE	wo35 min22		w  o  35  m  i  n  22
Sagart-2019-250-89	to hide (conceal)	HIDE (CONCEAL)	tsv̩22/33		ts  v̩  22/33
Sagart-2019-250-90	high / tall	HIGH	ko33		k  o  33
Sagart-2019-250-91	to hold	HOLD	a33/55		a  33/55
Sagart-2019-250-92	the hoof	HOOF	tje21		t  j  e  21
Sagart-2019-250-93	horizontal	HORIZONTAL	xwan21 		x  w  a  n  21 
Sagart-2019-250-94	the horn (keratinized skin)	HORN (ANATOMY)	ko55		k  o  55
Sagart-2019-250-95	the horse	HORSE	maɪ33		m  a  ɪ 33
Sagart-2019-250-96	hot	HOT	peɪ21		p  e  ɪ 21
Sagart-2019-250-97	the house	HOUSE	o55		o  55
Sagart-2019-250-98	hundred	HUNDRED	pja55		p  j  a  55
Sagart-2019-250-99	to hunt	HUNT	lweɪ55		l  w  e  ɪ 55
Sagart-2019-250-100	the husband	HUSBAND	məʊ33		m  ə ʊ 33
Sagart-2019-250-101	I [first person singular]	I	ŋu33		ŋ  u  33
Sagart-2019-250-102	the ice	ICE	kəʊ22		k  ə ʊ 22
Sagart-2019-250-103	inside	INSIDE	tʊŋ33 le22		t  ʊ ŋ  33  l  e  22
Sagart-2019-250-104	to kill	KILL	ɕi33/55		ɕ i  33/55
Sagart-2019-250-105	to knead	KNEAD	/		/
Sagart-2019-250-106	the knee	KNEE	ta21 ni33 kho55		t  a  21 n  i  33  kh  o  55
Sagart-2019-250-107	knife	KNIFE	ɕi55		ɕ i  55
Sagart-2019-250-108	to know (something)	KNOW (SOMETHING)	tju33		t  j  u  33
Sagart-2019-250-109	the lake	LAKE	sɨ55 ta21	Literally "water pond"	s  ɨ 55  t  a  21
Sagart-2019-250-110	late	LATE	na21		n  a  21
Sagart-2019-250-111	to laugh	LAUGH	so22		s  o  22
Sagart-2019-250-112	the leaf	LEAF	ɕeɪ55 ti55		ɕ e  ɪ 55  t  i  55
Sagart-2019-250-113	to learn	LEARN	ko55 		k  o  55 
Sagart-2019-250-114	left	LEFT	pa33 		p  a  33 
Sagart-2019-250-115	to lick	LICK	pi21 	Same as "mouth"	p  i  21 
Sagart-2019-250-116	to lie down	LIE DOWN	/		/
Sagart-2019-250-117	light (of weight)	LIGHT (WEIGHT)	tɕhɨ33		tɕh  ɨ 33
Sagart-2019-250-118	the lip (the lips)	LIP	pi21 pəʊ21	Literally "mouth skin"	p  i  21  p  ə ʊ 21
Sagart-2019-250-119	the liver	LIVER	ka33		k  a  33
Sagart-2019-250-120	long	LONG	tv̩21		t  v̩  21
Sagart-2019-250-121	the louse	LOUSE	ɕeɪ55		ɕ e  ɪ 55
Sagart-2019-250-122	the lung	LUNG	phəʊ22		ph  ə ʊ 22
Sagart-2019-250-123	the man (male human)	MALE PERSON	pa33 tso33 tso22		p  a  33  ts  o  33  ts  o  22
Sagart-2019-250-124	many	MANY	tje33		t  j  e  33
Sagart-2019-250-125	to marry (a man marries a woman)	MARRY (AS MAN)	ȵu21 		ȵ  u  21 
Sagart-2019-250-126	the meat	MEAT	tsa21		ts  a  21
Sagart-2019-250-127	middle	MIDDLE	ta33 fa55		t  a  33  f  a  55
Sagart-2019-250-128	the moon	MOON	ko55 pja55 ja22		k  o  55  p  j  a  55  j  a  22
Sagart-2019-250-129	morning	MORNING	/		/
Sagart-2019-250-130	the mosquito	MOSQUITO	tsɨ21 tsɨ35		ts  ɨ 21  ts  ɨ 35
Sagart-2019-250-131	the mother	MOTHER	ʑi33		ʑ i  33
Sagart-2019-250-132	the mountain	MOUNTAIN	ti21		t  i  21
Sagart-2019-250-133	the mouse or rat	MUROID (MOUSE OR RAT)	ɕv̩55		ɕ v̩  55
Sagart-2019-250-134	the mouth	MOUTH	pi21		p  i  21
Sagart-2019-250-135	the mud	MUD	lo21 kha33		l  o  21  kh  a  33
Sagart-2019-250-136	the nail (fingernail or claw)	CLAW OR NAIL	ɕu55 tɕɨ55 ka55		ɕ u  55  tɕ ɨ 55  k  a  55
Sagart-2019-250-137	the name	NAME	mi21		m  i  21
Sagart-2019-250-138	narrow	NARROW	ta55		t  a  55
Sagart-2019-250-139	near	NEAR	tɕin33		tɕ i  n  33
Sagart-2019-250-140	the neck	NECK	sʊŋ33 kʊŋ33		s  ʊ ŋ  33 k  ʊ ŋ  33
Sagart-2019-250-141	the needle (for sewing)	NEEDLE (FOR SEWING)	tɕaŋ33		tɕ a  ŋ  33
Sagart-2019-250-142	new	NEW	ɕin33		ɕ i  n  33
Sagart-2019-250-143	nine	NINE	ku55		k  u  55
Sagart-2019-250-144	the nit	NIT	/		/
Sagart-2019-250-145	noon	MIDDAY	/		/
Sagart-2019-250-146	the nose	NOSE	pi22 ki55		p  i  22  k  i  55
Sagart-2019-250-147	old (of person)	OLD (AGED)	la21 to55		l  a  21  t  o  55
Sagart-2019-250-148	one	ONE	ʑi33		ʑ i  33
Sagart-2019-250-149	the otter	OTTER	/		/
Sagart-2019-250-150	outside	OUTSIDE	wa22 le22		w  a  22  l  e  22
Sagart-2019-250-151	the pig	PIG	li21		l  i  21
Sagart-2019-250-152	to plant (vegetals, rice)	PLANT (SOMETHING)	tɕʊŋ33		tɕ ʊ ŋ  33
